epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16805,1.93126,3.51249,2.10541,0.00534,0.27146,0.0497,0.02318,1.55481,3.32039,2.17042,0.00010003,0.00010003,0.00010003
2,6.76445,1.28875,3.28393,1.5976,0.0081,0.26547,0.14633,0.11855,1.08071,3.19288,1.44271,0.000212228,0.000212228,0.000212228
3,9.72198,0.96656,2.86724,1.31068,0.0145,0.22754,0.07153,0.03685,1.35369,3.14899,1.44611,0.000322162,0.000322162,0.000322162
4,12.793,1.06235,2.23186,1.36248,0.01254,0.18563,0.03794,0.0142,2.28665,3.14865,2.13685,0.000429833,0.000429833,0.000429833
5,15.8723,1.06843,1.70934,1.3708,0.73502,0.03194,0.04453,0.01706,2.21422,3.01804,2.16064,0.000535241,0.000535241,0.000535241
6,18.8378,1.0012,1.39864,1.29773,0.8306,0.0425,0.09953,0.06025,1.58528,2.92,1.86103,0.000638384,0.000638384,0.000638384
7,21.5374,0.9315,1.19721,1.26274,0.96812,0.11776,0.15566,0.09516,1.84654,2.51602,2.20206,0.000739265,0.000739265,0.000739265
8,24.1562,0.88699,1.15355,1.22474,0.75566,0.14971,0.28358,0.17708,1.8434,2.52174,1.96403,0.000837881,0.000837881,0.000837881
9,26.8091,0.85358,1.05858,1.17757,0.92176,0.11577,0.2791,0.16607,1.46492,2.60653,1.66888,0.000934234,0.000934234,0.000934234
10,29.7133,0.84966,0.98558,1.17227,0.75512,0.2668,0.34514,0.20292,1.42038,2.28137,1.58457,0.00102832,0.00102832,0.00102832
11,32.3971,0.80648,0.98389,1.15687,0.98932,0.19561,0.59839,0.32789,1.38195,2.21782,1.45996,0.00112015,0.00112015,0.00112015
12,35.0623,0.82789,0.97519,1.17924,0.929,0.1996,0.64216,0.28339,1.30624,2.25829,1.63833,0.00120971,0.00120971,0.00120971
13,37.7959,0.82548,0.9504,1.17274,0.54227,0.33508,0.58829,0.33331,1.28067,1.95119,1.58223,0.00125923,0.00125923,0.00125923
14,40.5987,0.78991,0.89181,1.1584,0.58352,0.67081,0.7154,0.42706,1.10249,1.4814,1.45897,0.00124509,0.00124509,0.00124509
15,43.3274,0.81161,0.8983,1.17329,0.66008,0.64157,0.87464,0.5559,1.09067,1.4334,1.43574,0.00123094,0.00123094,0.00123094
16,46.2171,0.75683,0.83211,1.10962,0.75934,0.58566,0.88705,0.54147,1.05691,1.33006,1.41311,0.00121679,0.00121679,0.00121679
17,49.0268,0.73191,0.81623,1.11021,0.70854,0.62759,0.61657,0.31841,1.45258,1.46579,1.75998,0.00120265,0.00120265,0.00120265
