epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7166,1.32119,1.83055,1.29192,0,0,0,0,0,328.078,0,0.000473179,0.000473179,0.000473179
2,118.911,1.08229,0.94274,1.12643,0,0,0,0,0,789.922,0,0.000933305,0.000933305,0.000933305
3,176.845,1.02184,0.82073,1.09316,0,0,0,0,0,970.156,0,0.00137717,0.00137717,0.00137717
4,232.269,0.94895,0.73122,1.06425,0,0,0,0,0,733.516,0,0.00135583,0.00135583,0.00135583
5,286.936,0.88487,0.64805,1.03101,0,0,0,0,0,795.859,0,0.00133143,0.00133143,0.00133143
6,350.345,0.83315,0.59472,1.00835,0,0,0,0,0,894.453,0,0.00130704,0.00130704,0.00130704
7,407.092,0.78456,0.55228,0.9887,0,0,0,0,0,1001.38,0,0.00128265,0.00128265,0.00128265
8,464.115,0.7551,0.51851,0.97484,0,0,0,0,0,1065.69,0,0.00125826,0.00125826,0.00125826
9,521.207,0.72692,0.49464,0.96769,0,0,0,0,0,995.531,0,0.00123387,0.00123387,0.00123387
10,577.43,0.69681,0.47508,0.95622,0,0,0,0,0,1041.81,0,0.00120948,0.00120948,0.00120948
11,635.17,0.67954,0.45927,0.95016,0,0,0,0,0,1000.03,0,0.00118508,0.00118508,0.00118508
12,689.121,0.64266,0.43664,0.93714,0,0,0,0,0,1195.34,0,0.00116069,0.00116069,0.00116069
13,744.152,0.63379,0.42933,0.93296,0,0,0,0,0,1079.5,0,0.0011363,0.0011363,0.0011363
14,799.417,0.62666,0.42141,0.92773,0,0,0,0,0,985.719,0,0.00111191,0.00111191,0.00111191
15,853.152,0.61195,0.40876,0.92189,0,0,0,0,0,1113.56,0,0.00108752,0.00108752,0.00108752
16,908.937,0.5986,0.39824,0.91767,0,0,0,0,0,1201.09,0,0.00106313,0.00106313,0.00106313
17,963.113,0.56571,0.38429,0.9093,0,0,0,0,0,1178.81,0,0.00103874,0.00103874,0.00103874
18,1023.72,0.55647,0.3798,0.90603,0,0,0,0,0,1238.28,0,0.00101434,0.00101434,0.00101434
19,1080.71,0.55292,0.37279,0.90203,0,0,0,0,0,1190.75,0,0.000989952,0.000989952,0.000989952
20,1136.12,0.5489,0.36793,0.90014,0,0,0,0,0,1239.34,0,0.000965561,0.000965561,0.000965561
21,1191.39,0.53815,0.35779,0.89755,0,0,0,0,0,1280.91,0,0.000941169,0.000941169,0.000941169
22,1245.79,0.52131,0.35349,0.89436,0,0,0,0,0,1276.97,0,0.000916777,0.000916777,0.000916777
23,1300.4,0.51555,0.35082,0.89088,0,0,0,0,0,1282.56,0,0.000892386,0.000892386,0.000892386
24,1355.61,0.49936,0.34034,0.88526,0,0,0,0,0,1243.19,0,0.000867994,0.000867994,0.000867994
25,1409.38,0.50138,0.34091,0.88685,0,0,0,0,0,1260.53,0,0.000843603,0.000843603,0.000843603
26,1465.34,0.49173,0.33233,0.8827,0,0,0,0,0,1298.78,0,0.000819211,0.000819211,0.000819211
27,1523.34,0.47826,0.32098,0.88144,0,0,0,0,0,1335.62,0,0.00079482,0.00079482,0.00079482
28,1578.06,0.46379,0.31788,0.87556,0,0,0,0,0,1274.75,0,0.000770428,0.000770428,0.000770428
29,1633.31,0.46292,0.31746,0.87486,0,0,0,0,0,1407.88,0,0.000746037,0.000746037,0.000746037
30,1687.42,0.45601,0.31233,0.874,0,0,0,0,0,1364.28,0,0.000721645,0.000721645,0.000721645
31,1743.24,0.44752,0.30821,0.87143,0,0,0,0,0,1321.47,0,0.000697253,0.000697253,0.000697253
32,1801.65,0.43452,0.29942,0.86875,0,0,0,0,0,1433.72,0,0.000672862,0.000672862,0.000672862
33,1858.13,0.42972,0.29767,0.86463,0,0,0,0,0,1427.25,0,0.00064847,0.00064847,0.00064847
34,1914,0.42402,0.29343,0.86593,0,0,0,0,0,1449.91,0,0.000624079,0.000624079,0.000624079
35,1968.58,0.41179,0.28623,0.86012,0,0,0,0,0,1497.97,0,0.000599687,0.000599687,0.000599687
36,2022.96,0.41423,0.28547,0.86264,0,0,0,0,0,1477.53,0,0.000575296,0.000575296,0.000575296
37,2079.09,0.4145,0.28415,0.85994,0,0,0,0,0,1511.41,0,0.000550904,0.000550904,0.000550904
38,2132.75,0.40038,0.27776,0.8583,0,0,0,0,0,1485.72,0,0.000526513,0.000526513,0.000526513
39,2186.49,0.39869,0.27615,0.85739,0,0,0,0,0,1501.25,0,0.000502121,0.000502121,0.000502121
40,2267.56,0.38594,0.27038,0.85416,0,0,0,0,0,1511.06,0,0.000477729,0.000477729,0.000477729
41,2362.41,0.38384,0.26887,0.85404,0,0,0,0,0,1595.41,0,0.000453338,0.000453338,0.000453338
42,2460.67,0.38089,0.26631,0.85405,0,0,0,0,0,1541.78,0,0.000428946,0.000428946,0.000428946
43,2522.33,0.37132,0.26233,0.85084,0,0,0,0,0,1532.03,0,0.000404555,0.000404555,0.000404555
