epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.292,1.51069,1.74554,1.31282,0.86469,0.16066,0.26498,0.14124,1.89656,3.01129,1.78639,0.0812969,0.000984375,0.000984375
2,55.993,1.37578,1.03176,1.24915,0.13479,0.15955,0.07087,0.03046,2.47108,3.59073,2.84386,0.0622772,0.00196473,0.00196473
3,83.207,1.33732,0.93419,1.23365,0.62082,0.53004,0.57904,0.3146,1.67059,1.48892,1.57523,0.0432378,0.00292528,0.00292528
4,110.208,1.22296,0.80786,1.17482,0.7839,0.72113,0.80331,0.49333,1.37433,1.01755,1.31848,0.0241785,0.00386604,0.00386604
5,137.451,1.20001,0.79189,1.16289,0.5346,0.39391,0.39646,0.20527,1.91544,1.82645,1.77135,0.00509949,0.00478699,0.00478699
6,164.152,1.16432,0.76234,1.15072,0.68721,0.59212,0.70991,0.42164,1.47085,1.25448,1.42017,0.0047525,0.0047525,0.0047525
7,190.993,1.09181,0.69559,1.10433,0.71222,0.6518,0.71203,0.45275,1.28678,1.21087,1.23593,0.004703,0.004703,0.004703
8,218.652,1.0594,0.66709,1.09032,0.82834,0.77766,0.84531,0.52132,1.32313,1.22449,1.25782,0.0046535,0.0046535,0.0046535
9,245.629,1.00603,0.62492,1.06687,0.86947,0.79365,0.8745,0.59896,1.12784,0.95257,1.13997,0.004604,0.004604,0.004604
10,272.413,0.98803,0.60661,1.05879,0.84432,0.75273,0.81083,0.56148,1.08405,0.7201,1.11112,0.0045545,0.0045545,0.0045545
11,299.512,0.96321,0.5943,1.04586,0.84043,0.7932,0.86563,0.58269,1.16606,0.88011,1.1859,0.004505,0.004505,0.004505
12,326.587,0.92666,0.56506,1.02977,0.94237,0.93768,0.977,0.76526,0.86432,0.58687,0.98948,0.0044555,0.0044555,0.0044555
13,353.488,0.88451,0.53895,1.01164,0.93258,0.89302,0.95777,0.7493,0.88088,0.57447,1.01785,0.004406,0.004406,0.004406
14,380.245,0.86221,0.52754,1.00462,0.98377,0.98286,0.99073,0.79649,0.81169,0.43752,0.92589,0.0043565,0.0043565,0.0043565
15,407.135,0.85602,0.5166,1.00021,0.9449,0.92701,0.97258,0.73472,0.81489,0.50076,0.96069,0.004307,0.004307,0.004307
16,433.737,0.8184,0.50094,0.98712,0.92274,0.92776,0.96214,0.74861,0.90271,0.54336,1.00304,0.0042575,0.0042575,0.0042575
17,460.324,0.82268,0.50394,0.99374,0.98296,0.9764,0.99,0.83029,0.73639,0.41627,0.90561,0.004208,0.004208,0.004208
18,487.1,0.81213,0.48722,0.98023,0.96151,0.94618,0.97782,0.72053,1.04278,0.50672,1.021,0.0041585,0.0041585,0.0041585
19,513.856,0.77256,0.46811,0.96508,0.98956,0.97684,0.99189,0.86175,0.61698,0.35969,0.86267,0.004109,0.004109,0.004109
20,540.576,0.77337,0.46916,0.96865,0.95585,0.93707,0.98513,0.83398,0.66785,0.41412,0.88485,0.0040595,0.0040595,0.0040595
21,567.234,0.75836,0.46336,0.96317,0.9632,0.94975,0.97908,0.77996,0.90425,0.47409,0.97763,0.00401,0.00401,0.00401
22,594.327,0.73755,0.44505,0.95342,0.98283,0.98843,0.99348,0.85028,0.64081,0.369,0.86458,0.0039605,0.0039605,0.0039605
